cmip6-id, cmip6-label, cmip6-type
cmip6.atmoschem, Atmoschem, realm
, , 
cmip6.atmoschem.grid, Atmoschem > Grid, grid
, , 
cmip6.atmoschem.key_properties, Atmoschem > Key Properties, keyprops
cmip6.atmoschem.key_properties.timestep_framework, Atmoschem > Key Properties > Timestep Framework, subprocess
cmip6.atmoschem.key_properties.meteorological_forcings, Atmoschem > Key Properties > Meteorological Forcings, subprocess
cmip6.atmoschem.key_properties.resolution, Atmoschem > Key Properties > Resolution, subprocess
cmip6.atmoschem.key_properties.tuning_applied, Atmoschem > Key Properties > Tuning Applied, subprocess
, , 
cmip6.atmoschem.transport, Atmoschem > Transport, process
cmip6.atmoschem.transport.turbulence, Atmoschem > Transport > Turbulence, subprocess
, , 
cmip6.atmoschem.emissions_concentrations, Atmoschem > Emissions Concentrations, process
cmip6.atmoschem.emissions_concentrations.two_dimensionsal_emissions, Atmoschem > Emissions Concentrations > Two Dimensionsal Emissions, subprocess
